DATE,XTIMVA01ESM667S
2006-01-01,25149939640.0
2006-02-01,25229001510.0
2006-03-01,25530227500.0
2006-04-01,26532820160.0
2006-05-01,28448508670.0
2006-06-01,27394675220.0
2006-07-01,27271546280.0
2006-08-01,28847013270.0
2006-09-01,27605072450.0
2006-10-01,28920969390.0
2006-11-01,29462673650.0
2006-12-01,30824925510.0
2007-01-01,28900357140.0
2007-02-01,30118613100.0
2007-03-01,30523429710.0
2007-04-01,31184150300.0
2007-05-01,31710495390.0
2007-06-01,32185238220.000004
2007-07-01,33842913009.999996
2007-08-01,32361562370.0
2007-09-01,33584356460.000004
2007-10-01,35277680000.0
2007-11-01,35433797590.0
2007-12-01,35376743150.0
2008-01-01,37587421830.0
2008-02-01,37988347810.0
2008-03-01,38993159370.0
2008-04-01,39204182410.0
2008-05-01,38985724390.0
2008-06-01,38472105770.0
2008-07-01,39099842420.0
2008-08-01,36378026910.0
2008-09-01,33302275840.0
2008-10-01,29791152540.0
2008-11-01,25186108640.0
2008-12-01,24885397780.0
2009-01-01,22593960170.0
2009-02-01,22662909110.0
2009-03-01,21287617810.0
2009-04-01,22171109640.0
2009-05-01,22527558390.0
2009-06-01,23402949330.0
2009-07-01,24347654050.0
2009-08-01,25674322400.0
2009-09-01,26601761360.0
2009-10-01,27417777780.0
2009-11-01,28140050730.0
2009-12-01,26134562270.0
2010-01-01,27530952870.0
2010-02-01,25451323800.0
2010-03-01,26763907730.0
2010-04-01,26804797860.0
2010-05-01,26522431750.0
2010-06-01,25251706720.0
2010-07-01,26282231910.0
2010-08-01,26330617270.0
2010-09-01,26584053310.0
2010-10-01,29581388890.0
2010-11-01,29432362420.0
2010-12-01,29647880040.0
2011-01-01,31185733560.0
2011-02-01,30154455450.0
2011-03-01,32377839390.0
2011-04-01,32240045440.000004
2011-05-01,31477925290.0
2011-06-01,31824803560.0
2011-07-01,31164022860.0
2011-08-01,32388346010.0
2011-09-01,32005777170.0
2011-10-01,30000666410.0
2011-11-01,30639785410.0
2011-12-01,30818274170.0
2012-01-01,28033161290.0
2012-02-01,30522735580.0
2012-03-01,30086522180.0
2012-04-01,29147615770.0
2012-05-01,27750553360.0
2012-06-01,27356661890.0
2012-07-01,27181976550.0
2012-08-01,27811864960.0
2012-09-01,28123785630.0
2012-10-01,27971913790.0
2012-11-01,26997258360.0
2012-12-01,28208551600.0
2013-01-01,28788031910.0
2013-02-01,27775198450.0
2013-03-01,26721020170.0
2013-04-01,28297566750.0
2013-05-01,27077608900.0
2013-06-01,28235032020.0
2013-07-01,27868721770.0
2013-08-01,28683784970.0
2013-09-01,29105364800.0
2013-10-01,28398962460.0
2013-11-01,29138224180.0
2013-12-01,30024847900.0
2014-01-01,30215909580.0
2014-02-01,30318307170.0
2014-03-01,30823819380.0
2014-04-01,30140213790.0
2014-05-01,31108289350.0
2014-06-01,30824718980.0
2014-07-01,30887575460.0
2014-08-01,30813668570.0
2014-09-01,29458085620.0
2014-10-01,28627161530.0
2014-11-01,27566111950.0
2014-12-01,27170778530.0
2015-01-01,25780357820.0
2015-02-01,26358931730.0
2015-03-01,25513894900.0
2015-04-01,25548038940.0
2015-05-01,26170127630.0
2015-06-01,26635628040.0
2015-07-01,26265137310.0
2015-08-01,25984322840.0
2015-09-01,26522482040.0
2015-10-01,26012338720.0
2015-11-01,25035539310.0
2015-12-01,25246956360.0
2016-01-01,25082907520.0
2016-02-01,25688631290.0
2016-03-01,25827953330.0
2016-04-01,25602459640.0
2016-05-01,25493094530.0
2016-06-01,26531050700.0
2016-07-01,25128400770.0
2016-08-01,26408517790.0
2016-09-01,26164269980.0
2016-10-01,26567486240.0
2016-11-01,26383830460.0
2016-12-01,26587515140.0
2017-01-01,27454238510.0
2017-02-01,27557900880.0
2017-03-01,28026529010.0
2017-04-01,26389905990.0
2017-05-01,29062917310.0
2017-06-01,28421648830.0
2017-07-01,29394157800.0
2017-08-01,30618665550.0
2017-09-01,31347865280.0
2017-10-01,31550842310.0
2017-11-01,31583714950.0
