DATE,CPALTT01ESM657N
2001-06-01,0.336961049
2001-07-01,0.245441536
2001-08-01,0.241909476
2001-09-01,-0.013163147
2001-10-01,-0.104587935
2001-11-01,-0.074679753
2001-12-01,0.362685585
2002-01-01,-0.137408449
2002-02-01,0.086293686
2002-03-01,0.826268142
2002-04-01,1.358227036
2002-05-01,0.359965128
2002-06-01,0.004203211
2002-07-01,-0.693500708
2002-08-01,0.286391468
2002-09-01,0.374199902
2002-10-01,0.990876091
2002-11-01,0.154042577
2002-12-01,0.332552758
2003-01-01,-0.41155105
2003-02-01,0.2121729
2003-03-01,0.693291265
2003-04-01,0.813577956
2003-05-01,-0.092697357
2003-06-01,0.066858601
2003-07-01,-0.627232812
2003-08-01,0.459672329
2003-09-01,0.297761327
2003-10-01,0.674102218
2003-11-01,0.326001677
2003-12-01,0.171235185
2004-01-01,-0.701267935
2004-02-01,0.046087322
2004-03-01,0.697765795
2004-04-01,1.369715562
2004-05-01,0.589328378
2004-06-01,0.158344769
2004-07-01,-0.758853288
2004-08-01,0.442066695
2004-09-01,0.178427459
2004-10-01,1.027758721
2004-11-01,0.250734574
2004-12-01,-0.09769823
2005-01-01,-0.84233036
2005-02-01,0.259053731
2005-03-01,0.790892279
2005-04-01,1.440543425
2005-05-01,0.191140816
2005-06-01,0.233028604
2005-07-01,-0.611874713
2005-08-01,0.43956044
2005-09-01,0.614227034
2005-10-01,0.812697928
2005-11-01,0.151388994
2005-12-01,0.21540322
2006-01-01,-0.405998215
2006-02-01,0.047959209
2006-03-01,0.707689979
2006-04-01,1.410444302
2006-05-01,0.360676392
2006-06-01,0.151382752
2006-07-01,-0.594784575
2006-08-01,0.203980715
2006-09-01,-0.164086114
2006-10-01,0.41027162
2006-11-01,0.247372437
2006-12-01,0.273770794
2007-01-01,-0.67215162
2007-02-01,0.067793268
2007-03-01,0.758770201
2007-04-01,1.381418093
2007-05-01,0.274930664
2007-06-01,0.183987109
2007-07-01,-0.728595264
2007-08-01,0.137840975
2007-09-01,0.328431017
2007-10-01,1.29618486
2007-11-01,0.716432806
2007-12-01,0.418780229
2008-01-01,-0.619089574
2008-02-01,0.156032057
2008-03-01,0.88752508
2008-04-01,1.076249971
2008-05-01,0.674752899
2008-06-01,0.575961373
2008-07-01,-0.480076812
2008-08-01,-0.214779592
2008-09-01,-0.020718471
2008-10-01,0.344228135
2008-11-01,-0.424506654
2008-12-01,-0.512731882
2009-01-01,-1.23226591
2009-02-01,0.010553347
2009-03-01,0.164145855
2009-04-01,0.976237856
2009-05-01,-0.034776964
2009-06-01,0.440661456
2009-07-01,-0.854365345
2009-08-01,0.349349046
2009-09-01,-0.235569893
2009-10-01,0.713031138
2009-11-01,0.541670516
2009-12-01,-0.025271961
2010-01-01,-1.003090853
2010-02-01,-0.182223357
2010-03-01,0.741851839
2010-04-01,1.065340089
2010-05-01,0.221557297
2010-06-01,0.178905146
2010-07-01,-0.44817035
2010-08-01,0.252516596
2010-09-01,0.069523592
2010-10-01,0.913429232
2010-11-01,0.542871009
2010-12-01,0.61402721
2011-01-01,-0.731889636
2011-02-01,0.127001967
2011-03-01,0.747575431
2011-04-01,1.244512779
2011-05-01,-0.033013833
2011-06-01,-0.140905538
2011-07-01,-0.536858003
2011-08-01,0.124132733
2011-09-01,0.244636808
2011-10-01,0.788436268
2011-11-01,0.405377275
2011-12-01,0.129851707
2012-01-01,-1.099583706
2012-02-01,0.103577843
2012-03-01,0.672559358
2012-04-01,1.40501651
2012-05-01,-0.147720044
2012-06-01,-0.186812949
2012-07-01,-0.233682776
2012-08-01,0.562802954
2012-09-01,0.984515183
2012-10-01,0.849982381
2012-11-01,-0.123881624
2012-12-01,0.06996862
2013-01-01,-1.277623578
2013-02-01,0.172769026
2013-03-01,0.35244084
2013-04-01,0.373620274
2013-05-01,0.183987748
2013-06-01,0.14755682
2013-07-01,-0.516217935
2013-08-01,0.311124844
2013-09-01,-0.186945669
2013-10-01,0.406517043
2013-11-01,0.207734947
2013-12-01,0.089902377
2014-01-01,-1.330416772
2014-02-01,-0.042838936
2014-03-01,0.222857939
2014-04-01,0.889449546
2014-05-01,0.023311752
2014-06-01,0.027543832
2014-07-01,-0.940468752
2014-08-01,0.158232923
2014-09-01,0.152645681
2014-10-01,0.465765689
2014-11-01,-0.070018353
2014-12-01,-0.582833484
2015-01-01,-1.607116161
2015-02-01,0.206205706
2015-03-01,0.637922258
2015-04-01,0.919070168
2015-05-01,0.477744364
2015-06-01,0.267453461
2015-07-01,-0.928297733
2015-08-01,-0.332275607
2015-09-01,-0.307656026
2015-10-01,0.640867106
2015-11-01,0.365404135
2015-12-01,-0.291684853
2016-01-01,-1.907903868
2016-02-01,-0.352649223
2016-03-01,0.641165676
2016-04-01,0.70111462
2016-05-01,0.54642453
2016-06-01,0.46199031
2016-07-01,-0.727676237
2016-08-01,0.128975398
2016-09-01,0.004293642
2016-10-01,1.143133151
2016-11-01,0.362941738
