DATE,XTIMVA01PLM664S
2009-11-01,39398407750.0
2009-12-01,38950356710.0
2010-01-01,39536028530.0
2010-02-01,41329802670.0
2010-03-01,42201031330.0
2010-04-01,42467000430.0
2010-05-01,44321456390.0
2010-06-01,45970348060.0
2010-07-01,45089329260.0
2010-08-01,47356740810.0
2010-09-01,46540472910.0
2010-10-01,44810057920.0
2010-11-01,47598185070.0
2010-12-01,48944646600.0
2011-01-01,47389556490.0
2011-02-01,49092331450.0
2011-03-01,49954008790.0
2011-04-01,51541309190.0
2011-05-01,51956304800.0
2011-06-01,51047245710.0
2011-07-01,48599422770.0
2011-08-01,55172768540.0
2011-09-01,54468658220.0
2011-10-01,52252363710.0
2011-11-01,54989165890.0
2011-12-01,57077225550.0
2012-01-01,56820833770.0
2012-02-01,55963121900.0
2012-03-01,53242065900.0
2012-04-01,53172648630.0
2012-05-01,56367992000.0
2012-06-01,53901961100.0
2012-07-01,53004212490.0
2012-08-01,53976258530.0
2012-09-01,51761410610.0
2012-10-01,53962028080.0
2012-11-01,54626671690.0
2012-12-01,51742549670.0
2013-01-01,54105597660.0
2013-02-01,52737906990.0
2013-03-01,53820308590.0
2013-04-01,53797699560.0
2013-05-01,52241085870.0
2013-06-01,53567132960.0
2013-07-01,56111681730.0
2013-08-01,56368647170.0
2013-09-01,55695530100.0
2013-10-01,57516126760.0
2013-11-01,55890177440.0
2013-12-01,54074385100.0
2014-01-01,58776527740.0
2014-02-01,57007257680.0
2014-03-01,57203938880.0
2014-04-01,58590347770.0
2014-05-01,59498995830.0
2014-06-01,57200950300.0
2014-07-01,59379007770.0
2014-08-01,56531313030.0
2014-09-01,59608336830.0
2014-10-01,60757140240.0
2014-11-01,59386370330.0
2014-12-01,60610628300.0
2015-01-01,59245335480.0
2015-02-01,59237953430.0
2015-03-01,61253667670.0
2015-04-01,61253191420.0
2015-05-01,58012118150.0
2015-06-01,62638317210.0
2015-07-01,64337695980.00001
2015-08-01,61177390790.0
2015-09-01,64370276239.99999
2015-10-01,61865041250.0
2015-11-01,63513428790.0
2015-12-01,64005488330.00001
2016-01-01,60303683900.0
2016-02-01,66056859849.99999
2016-03-01,63454876620.0
2016-04-01,65452436890.0
2016-05-01,64196907800.00001
2016-06-01,66038561480.0
2016-07-01,63076070940.0
2016-08-01,68023118950.0
2016-09-01,67392708670.00001
2016-10-01,63373458820.0
2016-11-01,68340506640.0
2016-12-01,71477323410.0
2017-01-01,70505376510.0
2017-02-01,72254683140.0
