DATE,XTIMVA01DEM667S
1996-10-01,38916960220.0
1996-11-01,38930293510.0
1996-12-01,38675387950.0
1997-01-01,39265369410.0
1997-02-01,37153299650.0
1997-03-01,36589598410.0
1997-04-01,35207226180.0
1997-05-01,37726145060.0
1997-06-01,36923188150.0
1997-07-01,36979474520.0
1997-08-01,35583706900.0
1997-09-01,37165467580.0
1997-10-01,38464396970.0
1997-11-01,38517439820.0
1997-12-01,36860931080.0
1998-01-01,40490321080.0
1998-02-01,37861037390.0
1998-03-01,36814363760.0
1998-04-01,40071504600.0
1998-05-01,36771675640.0
1998-06-01,39653759960.0
1998-07-01,39310268080.0
1998-08-01,38390558110.0
1998-09-01,39667861540.0
1998-10-01,41421792000.0
1998-11-01,38527277080.0
1998-12-01,41319691910.0
1999-01-01,39812728440.0
1999-02-01,39455960080.0
1999-03-01,38911084900.0
1999-04-01,38477487730.0
1999-05-01,39520151100.0
1999-06-01,37955302950.0
1999-07-01,38767773810.0
1999-08-01,39970323800.0
1999-09-01,39350579260.0
1999-10-01,39851349320.0
1999-11-01,39376486170.0
1999-12-01,39456789790.0
2000-01-01,41728070540.0
2000-02-01,39722246770.0
2000-03-01,42191369070.0
2000-04-01,39095738900.0
2000-05-01,41180740510.0
2000-06-01,41283924160.0
2000-07-01,42123746430.0
2000-08-01,41618692190.0
2000-09-01,39580112350.0
2000-10-01,40779850820.0
2000-11-01,41421594060.0
2000-12-01,44625667860.0
2001-01-01,44381522610.0
2001-02-01,43129722240.0
2001-03-01,40757521800.0
2001-04-01,42242521670.0
2001-05-01,39841041890.0
2001-06-01,39540381580.0
2001-07-01,39561374920.0
2001-08-01,40098913480.0
2001-09-01,40266141110.0
2001-10-01,40094080500.0
2001-11-01,39109884910.0
2001-12-01,38241702830.0
2002-01-01,36174867100.0
2002-02-01,37357631550.0
2002-03-01,37357735860.0
2002-04-01,39350330510.0
2002-05-01,37516608020.0
2002-06-01,43129985560.0
2002-07-01,41402914540.0
2002-08-01,43019197950.0
2002-09-01,43090375530.0
2002-10-01,43182239680.0
2002-11-01,44104644210.0
2002-12-01,45412288410.0
2003-01-01,48768121110.0
2003-02-01,48225552300.0
2003-03-01,49195552120.0
2003-04-01,47996428210.0
2003-05-01,51136318830.0
2003-06-01,51880198310.0
2003-07-01,49230123290.0
2003-08-01,48200965190.0
2003-09-01,48825492410.0
2003-10-01,51848074630.0
2003-11-01,54302704460.0
2003-12-01,55509694420.0
2004-01-01,57193018900.0
2004-02-01,58712822130.0
2004-03-01,55595527720.0
2004-04-01,56302274700.0
2004-05-01,57156499760.0
2004-06-01,56314691890.0
2004-07-01,59773501420.0
2004-08-01,58101749420.0
2004-09-01,59834683640.0
2004-10-01,61142708430.0
2004-11-01,65875190880.00001
2004-12-01,64952451499.99999
2005-01-01,64581246310.0
2005-02-01,61909226010.0
2005-03-01,63187205370.0
2005-04-01,65032128290.0
2005-05-01,66107417639.99999
2005-06-01,61101945110.0
2005-07-01,62415288750.0
2005-08-01,64673271600.00001
2005-09-01,65193122730.0
2005-10-01,66065369390.0
2005-11-01,64152184240.0
2005-12-01,67579085400.0
2006-01-01,68484856730.00001
2006-02-01,69423094340.0
2006-03-01,69683093510.0
2006-04-01,73846155770.0
2006-05-01,74446512450.0
2006-06-01,75673374350.0
2006-07-01,76722437180.0
2006-08-01,75882197790.0
2006-09-01,80019642850.0
2006-10-01,78556716430.0
2006-11-01,80064799200.0
2006-12-01,84502960960.0
