DATE,XTIMVA01ITM664S
2008-01-01,33439100000.000004
2008-02-01,32680000000.0
2008-03-01,32436500000.000004
2008-04-01,32293700000.0
2008-05-01,31696700000.0
2008-06-01,32451400000.0
2008-07-01,33043400000.0
2008-08-01,32901899999.999996
2008-09-01,32151800000.0
2008-10-01,31092000000.0
2008-11-01,30239800000.0
2008-12-01,27019600000.0
2009-01-01,25638900000.0
2009-02-01,25173900000.0
2009-03-01,24107000000.0
2009-04-01,23867200000.0
2009-05-01,23469100000.0
2009-06-01,24147700000.0
2009-07-01,24263500000.0
2009-08-01,24314900000.0
2009-09-01,25002500000.0
2009-10-01,25355300000.0
2009-11-01,25572700000.0
2009-12-01,25844500000.0
2010-01-01,27150700000.0
2010-02-01,28047000000.0
2010-03-01,28496600000.0
2010-04-01,28694400000.0
2010-05-01,30270200000.0
2010-06-01,31511900000.0
2010-07-01,30854700000.0
2010-08-01,31165700000.0
2010-09-01,31576400000.0
2010-10-01,32741300000.000004
2010-11-01,32775500000.0
2010-12-01,33025900000.0
2011-01-01,33856299999.999996
2011-02-01,32926800000.0
2011-03-01,34471200000.0
2011-04-01,34870500000.0
2011-05-01,34396300000.0
2011-06-01,32924700000.0
2011-07-01,33982300000.000004
2011-08-01,34338200000.0
2011-09-01,32866400000.0
2011-10-01,32966600000.0
2011-11-01,32976300000.000004
2011-12-01,31085200000.0
2012-01-01,32291800000.000004
2012-02-01,32939700000.000004
2012-03-01,31875900000.0
2012-04-01,32049400000.0
2012-05-01,31976500000.0
2012-06-01,31159100000.0
2012-07-01,31384200000.0
2012-08-01,33578600000.0
2012-09-01,31681400000.0
2012-10-01,31118800000.0
2012-11-01,30794900000.0
2012-12-01,30951700000.0
2013-01-01,31626200000.0
2013-02-01,30437700000.0
2013-03-01,29680200000.0
2013-04-01,29772400000.0
2013-05-01,28931200000.0
2013-06-01,30256100000.0
2013-07-01,30258000000.0
2013-08-01,30986100000.0
2013-09-01,30478500000.0
2013-10-01,30042900000.0
2013-11-01,29726900000.0
2013-12-01,30318900000.0
2014-01-01,29888300000.0
2014-02-01,29754400000.0
2014-03-01,29370000000.0
2014-04-01,29157400000.0
2014-05-01,30094300000.0
2014-06-01,29881600000.0
